YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,DIV_AIRPORT_LANDINGS,DIV_REACHED_DEST,DIV_ACTUAL_ELAPSED_TIME,DIV_ARR_DELAY,DIV_DISTANCE,DIV1_AIRPORT,DIV1_AIRPORT_ID,DIV1_AIRPORT_SEQ_ID,DIV1_WHEELS_ON,DIV1_TOTAL_GTIME,DIV1_LONGEST_GTIME,DIV1_WHEELS_OFF,DIV1_TAIL_NUM,DIV2_AIRPORT,DIV2_AIRPORT_ID,DIV2_AIRPORT_SEQ_ID,DIV2_WHEELS_ON,DIV2_TOTAL_GTIME,DIV2_LONGEST_GTIME,DIV2_WHEELS_OFF,DIV2_TAIL_NUM,DIV3_AIRPORT,DIV3_AIRPORT_ID,DIV3_AIRPORT_SEQ_ID,DIV3_WHEELS_ON,DIV3_TOTAL_GTIME,DIV3_LONGEST_GTIME,DIV3_WHEELS_OFF,DIV3_TAIL_NUM,DIV4_AIRPORT,DIV4_AIRPORT_ID,DIV4_AIRPORT_SEQ_ID,DIV4_WHEELS_ON,DIV4_TOTAL_GTIME,DIV4_LONGEST_GTIME,DIV4_WHEELS_OFF,DIV4_TAIL_NUM,DIV5_AIRPORT,DIV5_AIRPORT_ID,DIV5_AIRPORT_SEQ_ID,DIV5_WHEELS_ON,DIV5_TOTAL_GTIME,DIV5_LONGEST_GTIME,DIV5_WHEELS_OFF,DIV5_TAIL_NUM
2023,1,3,1,3,3/1/2023 12:00:00 AM,AS,19930,AS,N248AK,100,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,1200,1207,7.00,7.00,0.00,0,1200-1259,16.00,1223,1619,8.00,1630,1627,-3.00,0.00,0.00,-1,1600-1659,0.00,,0.00,210.00,200.00,176.00,1.00,1448.00,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,1,3,3/1/2023 12:00:00 AM,AS,19930,AS,N248AK,59,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,0800,0759,-1.00,0.00,0.00,-1,0800-0859,23.00,0822,1049,12.00,1050,1101,11.00,11.00,0.00,0,1000-1059,0.00,,0.00,230.00,242.00,207.00,1.00,1448.00,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,1,3,3/1/2023 12:00:00 AM,AS,19930,AS,N248AK,97,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,11630,1163003,31517,FAI,"Fairbanks, AK",AK,02,Alaska,1,1755,1751,-4.00,0.00,0.00,-1,1700-1759,19.00,1810,2031,4.00,2049,2035,-14.00,0.00,0.00,-1,2000-2059,0.00,,0.00,234.00,224.00,201.00,1.00,1533.00,7,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,1,3,3/1/2023 12:00:00 AM,AS,19930,AS,N266AK,102,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,0700,0653,-7.00,0.00,0.00,-1,0700-0759,16.00,0709,1104,14.00,1130,1118,-12.00,0.00,0.00,-1,1100-1159,0.00,,0.00,210.00,205.00,175.00,1.00,1448.00,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,1,3,3/1/2023 12:00:00 AM,AS,19930,AS,N280AK,193,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,1955,1957,2.00,2.00,0.00,0,1900-1959,19.00,2016,0030,4.00,0035,0034,-1.00,0.00,0.00,-1,0001-0559,0.00,,0.00,340.00,337.00,314.00,1.00,2345.00,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,1,3,3/1/2023 12:00:00 AM,AS,19930,AS,N287AK,149,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,12523,1252306,32523,JNU,"Juneau, AK",AK,02,Alaska,1,1915,2004,49.00,49.00,1.00,3,1900-1959,18.00,2022,2136,30.00,2051,2206,75.00,75.00,1.00,5,2000-2059,0.00,,0.00,156.00,182.00,134.00,1.00,909.00,4,0.00,17.00,26.00,0.00,32.00,1948,9.00,9.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,1,3,3/1/2023 12:00:00 AM,AS,19930,AS,N288AK,141,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,04,Arizona,81,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,1845,2249,244.00,244.00,1.00,12,1800-1859,33.00,2322,0250,10.00,2245,0300,255.00,255.00,1.00,12,2200-2259,0.00,,0.00,360.00,371.00,328.00,1.00,2552.00,11,18.00,0.00,11.00,0.00,226.00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,1,3,3/1/2023 12:00:00 AM,AS,19930,AS,N292AK,223,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,11630,1163003,31517,FAI,"Fairbanks, AK",AK,02,Alaska,1,2245,2244,-1.00,0.00,0.00,-1,2200-2259,14.00,2258,0122,4.00,0140,0126,-14.00,0.00,0.00,-1,0001-0559,0.00,,0.00,235.00,222.00,204.00,1.00,1533.00,7,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,1,3,3/1/2023 12:00:00 AM,AS,19930,AS,N293AK,109,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,2245,2257,12.00,12.00,0.00,0,2200-2259,21.00,2318,0129,4.00,0130,0133,3.00,3.00,0.00,0,0001-0559,0.00,,0.00,225.00,216.00,191.00,1.00,1448.00,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,1,3,3/1/2023 12:00:00 AM,AS,19930,AS,N309AS,210,11630,1163003,31517,FAI,"Fairbanks, AK",AK,02,Alaska,1,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,0250,0310,20.00,20.00,1.00,1,0001-0559,15.00,0325,0711,24.00,0722,0735,13.00,13.00,0.00,0,0700-0759,0.00,,0.00,212.00,205.00,166.00,1.00,1533.00,7,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,1,3,3/1/2023 12:00:00 AM,AS,19930,AS,N320AS,209,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,11630,1163003,31517,FAI,"Fairbanks, AK",AK,02,Alaska,1,2045,2052,7.00,7.00,0.00,0,2000-2059,11.00,2103,2317,3.00,2340,2320,-20.00,0.00,0.00,-2,2300-2359,0.00,,0.00,235.00,208.00,194.00,1.00,1533.00,7,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,1,3,3/1/2023 12:00:00 AM,AS,19930,AS,N323AS,189,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,1340,1341,1.00,1.00,0.00,0,1300-1359,18.00,1359,1613,7.00,1625,1620,-5.00,0.00,0.00,-1,1600-1659,0.00,,0.00,225.00,219.00,194.00,1.00,1448.00,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,1,3,3/1/2023 12:00:00 AM,AS,19930,AS,N323AS,96,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,1730,1729,-1.00,0.00,0.00,-1,1700-1759,8.00,1737,2131,12.00,2200,2143,-17.00,0.00,0.00,-2,2200-2259,0.00,,0.00,210.00,194.00,174.00,1.00,1448.00,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,1,3,3/1/2023 12:00:00 AM,AS,19930,AS,N407AS,94,10299,1029906,30299,ANC,"Anchorage, AK",AK,02,Alaska,1,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,0255,0309,14.00,14.00,0.00,0,0001-0559,8.00,0317,0656,8.00,0719,0704,-15.00,0.00,0.00,-1,0700-0759,0.00,,0.00,204.00,175.00,159.00,1.00,1448.00,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,1,3,3/1/2023 12:00:00 AM,AS,19930,AS,N413AS,176,12523,1252306,32523,JNU,"Juneau, AK",AK,02,Alaska,1,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,0525,0611,46.00,46.00,1.00,3,0001-0559,51.00,0702,0946,16.00,0845,1002,77.00,77.00,1.00,5,0800-0859,0.00,,0.00,140.00,171.00,104.00,1.00,909.00,4,46.00,0.00,31.00,0.00,0.00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
